Era{0}: --------------------
(0.000000, 0.000000)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.000000, 0.000000)
(0.048600, 0.000000)
(0.600000, 0.330000)
(0.600000, 0.330000)

Era{12}: --------------------
(0.146340, 0.000000)
(0.000000, 0.000000)
(0.540000, 0.297000)
(0.114000, 0.000000)
(0.108600, 0.000000)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.594000, 0.297000)
(0.600000, 0.330000)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.000000, 0.000000)
(0.048600, 0.000000)
(0.600000, 0.330000)
(0.600000, 0.330000)

Era{13}: --------------------
(0.146340, 0.000000)
(0.000000, 0.000000)
(0.540000, 0.297000)
(0.114000, 0.000000)
(0.108600, 0.000000)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.594000, 0.297000)
(0.600000, 0.330000)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.000000, 0.000000)
(0.048600, 0.000000)
(0.600000, 0.330000)
(0.600000, 0.330000)

Era{14}: --------------------
(0.146340, 0.000000)
(0.502260, 0.267300)
(0.540000, 0.297000)
(0.114000, 0.000000)
(0.108600, 0.000000)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.594000, 0.297000)
(0.600000, 0.330000)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.000000, 0.000000)
(0.196566, 0.026730)
(0.600000, 0.330000)
(0.600000, 0.330000)

Era{15}: --------------------
(0.146340, 0.000000)
(0.502260, 0.267300)
(0.540000, 0.297000)
(0.114000, 0.000000)
(0.108600, 0.000000)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.594000, 0.297000)
(0.600000, 0.330000)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.000000, 0.000000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.600000, 0.330000)

Era{16}: --------------------
(0.146340, 0.000000)
(0.502260, 0.267300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.108600, 0.000000)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.594000, 0.297000)
(0.600000, 0.330000)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.600000, 0.330000)
(0.103200, -0.029700)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.000000, 0.000000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.600000, 0.330000)

Era{17}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.108600, 0.000000)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.594000, 0.297000)
(0.594600, 0.327030)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.000000, 0.000000)
(0.600000, 0.330000)
(0.103200, -0.029700)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.000000, 0.000000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.600000, 0.330000)

Era{18}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.108600, 0.000000)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.594000, 0.297000)
(0.594600, 0.327030)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.103200, -0.029700)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.000000, 0.000000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.540600, 0.273273)

Era{19}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.490860, 0.269973)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.594000, 0.297000)
(0.594600, 0.327030)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.103200, -0.029700)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.540600, 0.273273)

Era{20}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.490860, 0.269973)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.594000, 0.297000)
(0.594600, 0.327030)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.594000, 0.353430)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.540600, 0.273273)

Era{21}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.490860, 0.269973)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.546540, 0.300597)
(0.594600, 0.327030)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.594000, 0.353430)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.540600, 0.273273)

Era{22}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.490860, 0.269973)
(0.540000, 0.297000)
(0.654000, 0.359700)
(0.546540, 0.300597)
(0.594600, 0.327030)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.594000, 0.353430)
(0.546000, 0.300300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.551400, 0.303270)

Era{23}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.490860, 0.269973)
(0.540000, 0.297000)
(0.487140, 0.243870)
(0.546540, 0.300597)
(0.594600, 0.327030)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.594000, 0.353430)
(0.652434, 0.404547)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.551400, 0.303270)

Era{24}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.490860, 0.269973)
(0.540000, 0.297000)
(0.487140, 0.243870)
(0.546540, 0.300597)
(0.598434, 0.374847)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.594000, 0.353430)
(0.652434, 0.404547)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.551400, 0.303270)

Era{25}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.490860, 0.269973)
(0.540000, 0.297000)
(0.487140, 0.243870)
(0.546540, 0.300597)
(0.598434, 0.374847)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.594000, 0.353430)
(0.652434, 0.404547)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.551400, 0.303270)

Era{26}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.490860, 0.269973)
(0.540000, 0.297000)
(0.487140, 0.243870)
(0.546540, 0.300597)
(0.598434, 0.374847)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.594000, 0.353430)
(0.652434, 0.404547)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.588600, 0.297000)
(0.600000, 0.330000)
(0.551400, 0.303270)

Era{27}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.490860, 0.269973)
(0.540000, 0.297000)
(0.487140, 0.243870)
(0.546540, 0.300597)
(0.598434, 0.374847)
(0.540000, 0.297000)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.594000, 0.353430)
(0.652434, 0.404547)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.504695, 0.236445)
(0.600000, 0.330000)
(0.551400, 0.303270)

Era{28}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.490860, 0.269973)
(0.540000, 0.297000)
(0.487140, 0.243870)
(0.546540, 0.300597)
(0.598434, 0.374847)
(0.540000, 0.297000)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.600000, 0.330000)
(0.594000, 0.353430)
(0.652434, 0.404547)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.593191, 0.367392)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{29}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.546128, 0.263347)
(0.540000, 0.297000)
(0.487140, 0.243870)
(0.546540, 0.300597)
(0.598434, 0.374847)
(0.551400, 0.303270)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.578994, 0.359584)
(0.594000, 0.353430)
(0.652434, 0.404547)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.593191, 0.367392)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{30}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.546128, 0.263347)
(0.540000, 0.297000)
(0.487140, 0.243870)
(0.550260, 0.302643)
(0.598434, 0.374847)
(0.551400, 0.303270)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.578994, 0.359584)
(0.594000, 0.353430)
(0.652434, 0.404547)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.597834, 0.350460)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{31}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.546128, 0.263347)
(0.540000, 0.297000)
(0.487140, 0.243870)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.551400, 0.303270)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.578994, 0.359584)
(0.594000, 0.353430)
(0.652434, 0.404547)
(0.540000, 0.297000)
(0.600000, 0.330000)
(0.597834, 0.350460)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{32}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.679798, 0.450513)
(0.540000, 0.297000)
(0.487140, 0.243870)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.551400, 0.303270)
(0.555774, 0.305676)
(0.605400, 0.359700)
(0.578994, 0.359584)
(0.594000, 0.353430)
(0.723269, 0.513394)
(0.540000, 0.297000)
(0.683735, 0.452678)
(0.638776, 0.400802)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{33}: --------------------
(0.546000, 0.300300)
(0.534600, 0.267300)
(0.540000, 0.297000)
(0.543192, 0.277104)
(0.679798, 0.450513)
(0.808578, 0.622287)
(0.487140, 0.243870)
(0.632224, 0.402696)
(0.598434, 0.374847)
(0.551400, 0.303270)
(0.555774, 0.305676)
