Era{0}: --------------------
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.632224, 0.402696)
(0.779637, 0.607888)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.792178, 0.653362)
(0.747332, 0.544258)
(0.600000, 0.330000)
(0.700306, 0.467900)

Era{52}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.808578, 0.622287)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.632224, 0.402696)
(0.779637, 0.607888)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.792178, 0.653362)
(0.747332, 0.544258)
(0.815085, 0.639024)
(0.700306, 0.467900)

Era{53}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.808578, 0.622287)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.632224, 0.402696)
(0.779637, 0.607888)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.605400, 0.359700)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.792178, 0.653362)
(0.747332, 0.544258)
(0.815085, 0.639024)
(0.740435, 0.561384)

Era{54}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.853318, 0.710912)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.632224, 0.402696)
(0.779637, 0.607888)
(0.689109, 0.445795)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.740800, 0.536845)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.792178, 0.653362)
(0.747332, 0.544258)
(0.815085, 0.639024)
(0.740435, 0.561384)

Era{55}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.853318, 0.710912)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.632224, 0.402696)
(0.779637, 0.607888)
(0.889850, 0.769306)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.901245, 0.780607)
(0.747332, 0.544258)
(0.815085, 0.639024)
(0.740435, 0.561384)

Era{56}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.853318, 0.710912)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.632224, 0.402696)
(0.779637, 0.607888)
(0.889850, 0.769306)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.901245, 0.780607)
(0.747332, 0.544258)
(0.815085, 0.639024)
(0.740435, 0.561384)

Era{57}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.853318, 0.710912)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.889850, 0.769306)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.901245, 0.780607)
(0.747332, 0.544258)
(0.815085, 0.639024)
(0.822111, 0.667063)

Era{58}: --------------------
(0.801879, 0.624576)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.853318, 0.710912)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.889850, 0.769306)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.901245, 0.780607)
(0.747332, 0.544258)
(0.815085, 0.639024)
(0.822111, 0.667063)

Era{59}: --------------------
(0.773780, 0.589079)
(0.534600, 0.267300)
(0.850902, 0.691009)
(0.853318, 0.710912)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.889850, 0.769306)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.901245, 0.780607)
(0.747332, 0.544258)
(0.766491, 0.596803)
(0.822111, 0.667063)

Era{60}: --------------------
(0.773780, 0.589079)
(0.839148, 0.703699)
(0.850902, 0.691009)
(0.853318, 0.710912)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.889850, 0.769306)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.784436, 0.583591)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.901245, 0.780607)
(0.747332, 0.544258)
(0.766491, 0.596803)
(0.822111, 0.667063)

Era{61}: --------------------
(0.773780, 0.589079)
(0.839148, 0.703699)
(0.850902, 0.691009)
(0.853318, 0.710912)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.889850, 0.769306)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.727479, 0.525083)
(0.747332, 0.544258)
(0.766491, 0.596803)
(0.822111, 0.667063)

Era{62}: --------------------
(0.773780, 0.589079)
(0.839148, 0.703699)
(0.886240, 0.787840)
(0.853318, 0.710912)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.927044, 0.848505)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.727479, 0.525083)
(0.747332, 0.544258)
(0.766491, 0.596803)
(0.822111, 0.667063)

Era{63}: --------------------
(0.773780, 0.589079)
(0.839148, 0.703699)
(0.886240, 0.787840)
(0.877007, 0.772614)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.927044, 0.848505)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.727479, 0.525083)
(0.747332, 0.544258)
(0.766491, 0.596803)
(0.822111, 0.667063)

Era{64}: --------------------
(0.773780, 0.589079)
(0.839148, 0.703699)
(0.886240, 0.787840)
(0.877007, 0.772614)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.927044, 0.848505)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.727479, 0.525083)
(0.747332, 0.544258)
(0.766491, 0.596803)
(0.822111, 0.667063)

Era{65}: --------------------
(0.773780, 0.589079)
(0.839148, 0.703699)
(0.886240, 0.787840)
(0.877007, 0.772614)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.927044, 0.848505)
(0.689527, 0.499884)
(0.694965, 0.460858)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.727479, 0.525083)
(0.747332, 0.544258)
(0.766491, 0.596803)
(0.822111, 0.667063)

Era{66}: --------------------
(0.773780, 0.589079)
(0.839148, 0.703699)
(0.886240, 0.787840)
(0.877007, 0.772614)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.927044, 0.848505)
(0.689527, 0.499884)
(0.903813, 0.795173)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.727479, 0.525083)
(0.747332, 0.544258)
(0.766491, 0.596803)
(0.822111, 0.667063)

Era{67}: --------------------
(0.773780, 0.589079)
(0.839148, 0.703699)
(0.886240, 0.787840)
(0.877007, 0.772614)
(0.807424, 0.655417)
(0.808578, 0.622287)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.927044, 0.848505)
(0.689527, 0.499884)
(0.903813, 0.795173)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.627056, 0.387477)
(0.727479, 0.525083)
(0.747332, 0.544258)
(0.766491, 0.596803)
(0.822111, 0.667063)

Era{68}: --------------------
(0.773780, 0.589079)
(0.839148, 0.703699)
(0.886240, 0.787840)
(0.877007, 0.772614)
(0.807424, 0.655417)
(0.784352, 0.622818)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.892532, 0.792969)
(0.895057, 0.803670)
(0.903813, 0.795173)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.965793, 0.915575)
(0.871762, 0.777541)
(0.747332, 0.544258)
(0.766491, 0.596803)
(0.822111, 0.667063)

Era{69}: --------------------
(0.773780, 0.589079)
(0.839148, 0.703699)
(0.947429, 0.889819)
(0.877007, 0.772614)
(0.807424, 0.655417)
(0.784352, 0.622818)
(0.814046, 0.668841)
(0.936298, 0.851074)
(0.779637, 0.607888)
(0.892532, 0.792969)
(0.895057, 0.803670)
(0.903813, 0.795173)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.965793, 0.915575)
(0.871762, 0.777541)
(0.747332, 0.544258)
(0.919070, 0.846631)
(0.822111, 0.667063)

Era{70}: --------------------
(0.855964, 0.749109)
(0.839148, 0.703699)
(0.947429, 0.889819)
(0.877007, 0.772614)
(0.807424, 0.655417)
(0.784352, 0.622818)
(0.814046, 0.668841)
(0.905024, 0.819750)
(0.779637, 0.607888)
(0.892532, 0.792969)
(0.895057, 0.803670)
(0.903813, 0.795173)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.965793, 0.915575)
(0.871762, 0.777541)
(0.747332, 0.544258)
(0.919070, 0.846631)
(0.822111, 0.667063)

Era{71}: --------------------
(0.855964, 0.749109)
(0.949068, 0.896042)
(0.947429, 0.889819)
(0.877007, 0.772614)
(0.807424, 0.655417)
(1.016124, 1.016918)
(0.814046, 0.668841)
(0.905024, 0.819750)
(0.779637, 0.607888)
(0.892532, 0.792969)
(0.895057, 0.803670)
(0.903813, 0.795173)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.760902, 0.573471)
(0.965793, 0.915575)
(0.871762, 0.777541)
(0.747332, 0.544258)
(0.919070, 0.846631)
(1.001876, 0.994192)

Era{72}: --------------------
(0.937746, 0.890232)
(0.949068, 0.896042)
(0.947429, 0.889819)
(0.877007, 0.772614)
(0.833382, 0.698034)
(1.016124, 1.016918)
(0.814046, 0.668841)
(0.976861, 0.949797)
(0.779637, 0.607888)
(0.892532, 0.792969)
(0.895057, 0.803670)
(0.847312, 0.722056)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.792415, 0.631063)
(0.965793, 0.915575)
(0.871762, 0.777541)
(0.747332, 0.544258)
(0.919070, 0.846631)
(1.001876, 0.994192)

Era{73}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.947429, 0.889819)
(0.877007, 0.772614)
(0.833382, 0.698034)
(1.016124, 1.016918)
(0.981582, 0.945362)
(0.976861, 0.949797)
(0.779637, 0.607888)
(0.889203, 0.790017)
(0.895057, 0.803670)
(0.847312, 0.722056)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.792415, 0.631063)
(0.965793, 0.915575)
(0.871762, 0.777541)
(0.747332, 0.544258)
(0.961808, 0.932216)
(1.001876, 0.994192)

Era{74}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.947429, 0.889819)
(0.877007, 0.772614)
(0.833382, 0.698034)
(1.016124, 1.016918)
(0.981582, 0.945362)
(0.976861, 0.949797)
(0.916522, 0.837845)
(0.889203, 0.790017)
(0.895057, 0.803670)
(0.847312, 0.722056)
(0.909052, 0.811761)
(0.898492, 0.805051)
(0.792415, 0.631063)
(0.965793, 0.915575)
(0.871762, 0.777541)
(0.747332, 0.544258)
(0.961808, 0.932216)
(1.001876, 0.994192)

Era{75}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.947429, 0.889819)
(0.877007, 0.772614)
(0.833382, 0.698034)
(1.016124, 1.016918)
(0.926415, 0.854507)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(0.895057, 0.803670)
(0.847312, 0.722056)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.792415, 0.631063)
(0.965793, 0.915575)
(0.871762, 0.777541)
(0.747332, 0.544258)
(0.961808, 0.932216)
(1.001876, 0.994192)

Era{76}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(0.833382, 0.698034)
(1.016124, 1.016918)
(0.926415, 0.854507)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(0.895057, 0.803670)
(0.847312, 0.722056)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.792415, 0.631063)
(0.965793, 0.915575)
(0.871762, 0.777541)
(0.814928, 0.671020)
(0.961808, 0.932216)
(1.001876, 0.994192)

Era{77}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(0.833382, 0.698034)
(1.016124, 1.016918)
(0.926415, 0.854507)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(0.895057, 0.803670)
(0.847312, 0.722056)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.833369, 0.684280)
(0.986727, 0.964319)
(0.871762, 0.777541)
(0.899002, 0.792113)
(0.961808, 0.932216)
(1.001876, 0.994192)

Era{78}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(0.833382, 0.698034)
(1.016124, 1.016918)
(0.926415, 0.854507)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(0.895057, 0.803670)
(0.935858, 0.867039)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.833369, 0.684280)
(0.986727, 0.964319)
(0.871762, 0.777541)
(0.899002, 0.792113)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{79}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(0.833382, 0.698034)
(1.016124, 1.016918)
(0.926415, 0.854507)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(0.895057, 0.803670)
(0.935858, 0.867039)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.833369, 0.684280)
(0.986727, 0.964319)
(0.871762, 0.777541)
(0.899002, 0.792113)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{80}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.016124, 1.016918)
(0.926415, 0.854507)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.935858, 0.867039)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.935905, 0.858270)
(0.986727, 0.964319)
(0.871762, 0.777541)
(0.899002, 0.792113)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{81}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.016124, 1.016918)
(0.926415, 0.854507)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.935858, 0.867039)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.935905, 0.858270)
(0.986727, 0.964319)
(0.871762, 0.777541)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{82}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.016124, 1.016918)
(0.977123, 0.948559)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.935858, 0.867039)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.935905, 0.858270)
(0.986727, 0.964319)
(0.871762, 0.777541)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{83}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.016124, 1.016918)
(0.977123, 0.948559)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.935858, 0.867039)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.935905, 0.858270)
(0.986727, 0.964319)
(0.871762, 0.777541)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{84}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.016124, 1.016918)
(0.977123, 0.948559)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.935905, 0.858270)
(0.990025, 0.985966)
(0.871762, 0.777541)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{85}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.016124, 1.016918)
(0.977123, 0.948559)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(0.986002, 0.961629)
(0.898492, 0.805051)
(0.935905, 0.858270)
(0.990025, 0.985966)
(0.993089, 0.979312)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{86}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(1.027484, 1.049253)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.016124, 1.016918)
(0.977123, 0.948559)
(0.976861, 0.949797)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(0.986002, 0.961629)
(0.898492, 0.805051)
(1.060680, 1.116620)
(0.985268, 0.967945)
(0.993089, 0.979312)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{87}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.958774, 0.914916)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(0.986002, 0.961629)
(0.991921, 0.989187)
(1.060680, 1.116620)
(0.985268, 0.967945)
(0.993089, 0.979312)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{88}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.958774, 0.914916)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(0.986002, 0.961629)
(0.991921, 0.989187)
(1.060680, 1.116620)
(0.985268, 0.967945)
(0.993089, 0.979312)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{89}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.958774, 0.914916)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(1.011186, 1.017926)
(0.991921, 0.989187)
(1.060680, 1.116620)
(0.985268, 0.967945)
(0.993089, 0.979312)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{90}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.958774, 0.914916)
(0.877007, 0.772614)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(1.011186, 1.017926)
(0.991921, 0.989187)
(1.060680, 1.116620)
(0.974305, 0.949608)
(0.993089, 0.979312)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{91}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.958774, 0.914916)
(0.928179, 0.863211)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(1.011186, 1.017926)
(0.991921, 0.989187)
(1.060680, 1.116620)
(0.974305, 0.949608)
(0.993089, 0.979312)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{92}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.958774, 0.914916)
(0.928179, 0.863211)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(1.011186, 1.017926)
(0.991921, 0.989187)
(1.060680, 1.116620)
(0.974305, 0.949608)
(0.993089, 0.979312)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{93}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.958774, 0.914916)
(0.928179, 0.863211)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(1.011186, 1.017926)
(0.991921, 0.989187)
(1.060680, 1.116620)
(0.974305, 0.949608)
(1.009425, 1.014244)
(0.916152, 0.826429)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{94}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.958774, 0.914916)
(0.928179, 0.863211)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(1.011186, 1.017926)
(0.991921, 0.989187)
(1.060680, 1.116620)
(0.974305, 0.949608)
(0.969441, 0.940666)
(0.905902, 0.822520)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{95}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.958774, 0.914916)
(0.928179, 0.863211)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.025863, 1.043732)
(1.052144, 1.107851)
(0.959936, 0.921930)
(1.011186, 1.017926)
(0.991921, 0.989187)
(1.060680, 1.116620)
(0.974305, 0.949608)
(0.969441, 0.940666)
(0.905902, 0.822520)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{96}: --------------------
(0.995158, 0.993402)
(0.949068, 0.896042)
(0.958774, 0.914916)
(0.928179, 0.863211)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.022162, 1.045161)
(1.052144, 1.107851)
(0.959936, 0.921930)
(1.011186, 1.017926)
(1.013231, 1.022575)
(1.060680, 1.116620)
(0.974305, 0.949608)
(0.969441, 0.940666)
(0.905902, 0.822520)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{97}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.958774, 0.914916)
(0.928179, 0.863211)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.022162, 1.045161)
(1.052144, 1.107851)
(0.959936, 0.921930)
(1.011186, 1.017926)
(1.013231, 1.022575)
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.969441, 0.940666)
(0.918065, 0.841913)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{98}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.958774, 0.914916)
(0.960720, 0.928460)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.022162, 1.045161)
(1.052144, 1.107851)
(0.988846, 0.977595)
(1.011186, 1.017926)
(1.013231, 1.022575)
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.969441, 0.940666)
(0.918065, 0.841913)
(0.961808, 0.932216)
(0.985543, 0.973273)

Era{99}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.958774, 0.914916)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.022162, 1.045161)
(1.052144, 1.107851)
(0.988846, 0.977595)
(1.011186, 1.017926)
(1.013231, 1.022575)
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.969441, 0.940666)
(0.918065, 0.841913)
(1.036016, 1.070304)
(0.985543, 0.973273)

Era{100}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(0.916522, 0.837845)
(1.022162, 1.045161)
(1.052144, 1.107851)
(0.988846, 0.977595)
(1.011186, 1.017926)
(1.013231, 1.022575)
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.969441, 0.940666)
(0.918065, 0.841913)
(1.036016, 1.070304)
(0.985543, 0.973273)

Era{101}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(1.046121, 1.087743)
(1.022162, 1.045161)
(1.052144, 1.107851)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
(1.019647, 1.041236)
(0.974305, 0.949608)
(0.969441, 0.940666)
(0.918065, 0.841913)
(1.036016, 1.070304)
(0.985543, 0.973273)

Era{102}: --------------------
(0.995158, 0.993402)
(0.959563, 0.916155)
(0.996129, 0.991400)
(1.044108, 1.085643)
(1.015546, 1.030783)
(1.024789, 1.043636)
(0.977123, 0.948559)
(1.028442, 1.058843)
(1.046121, 1.087743)
(1.022162, 1.045161)
(1.052144, 1.107851)
(0.988846, 0.977595)
(1.011186, 1.017926)
(0.977312, 0.955571)
